DateTime,Luminosity (Lux),Voltage (Volts),Temprature (C),Dirty
2023-04-28 21:34:03,2393,6.81,17.75,TRUE
2023-04-28 21:40:58,2848,7.03,17.5,TRUE
2023-04-28 21:47:53,8680,9.62,19.75,TRUE
2023-04-28 21:54:48,3258,12.72,19.75,TRUE
2023-04-28 22:01:43,3132,12.79,18.75,TRUE
2023-04-28 22:08:39,4294,13.11,17.75,TRUE
2023-04-28 22:15:34,5078,11.23,17.25,TRUE
2023-04-28 22:22:29,2921,10.69,17.5,TRUE
2023-04-28 22:29:24,2889,8.57,17.25,TRUE
2023-04-28 22:36:19,2774,8.33,18,TRUE
2023-04-28 22:43:14,2758,7.54,17.25,TRUE
2023-04-28 22:50:09,2798,7.67,17,TRUE
2023-04-28 22:57:04,2985,8.08,17,TRUE
2023-04-28 23:03:59,3070,8.28,17.75,TRUE
2023-04-28 23:10:54,3297,8.64,17.75,TRUE
2023-04-28 23:17:49,3302,8.33,17.75,TRUE
2023-04-28 23:24:44,3184,8.47,18,TRUE
2023-04-28 23:31:40,3198,8.42,18.75,TRUE
2023-04-28 23:38:35,3366,8.79,18.75,TRUE
2023-04-28 23:45:30,3334,8.91,18.75,TRUE
2023-04-28 23:52:25,3384,13.89,19,TRUE
2023-04-28 23:59:20,3284,10.55,19.5,TRUE
2023-04-29 0:06:15,3048,14.55,19,TRUE
2023-04-29 0:13:10,2970,9.08,19.25,TRUE
2023-04-29 0:20:05,3014,8.91,19.5,TRUE
2023-04-29 0:27:00,3939,9.01,20,TRUE
2023-04-29 0:33:55,4143,10.4,20.25,TRUE
2023-04-29 0:40:50,4336,10.16,21,TRUE
2023-04-29 0:47:45,13542,11.16,22.25,TRUE
2023-04-29 0:54:40,15953,16.46,24,TRUE
2023-04-29 1:01:35,16228,17.11,24.25,TRUE
2023-04-29 1:08:30,17163,17.21,25.25,TRUE
2023-04-29 1:15:25,19190,16.75,27,TRUE
2023-04-29 1:22:21,14698,16.77,25.75,TRUE
2023-04-29 1:29:16,10171,16.67,28,TRUE
2023-04-29 1:36:11,17073,16.85,28.75,TRUE
2023-04-29 1:43:06,17755,16.41,28.75,TRUE
2023-04-29 1:50:01,17014,16.16,27.75,TRUE
2023-04-29 1:56:56,17413,15.43,29.5,TRUE
2023-04-29 2:03:51,17676,17.04,30.75,TRUE
2023-04-29 2:10:47,19371,17.33,31,TRUE
2023-04-29 2:17:42,19694,17.02,30,TRUE
2023-04-29 2:24:37,24000,17.31,31.75,TRUE
2023-04-29 2:31:32,19550,18.6,32,TRUE
2023-04-29 2:38:27,22904,19.14,34,TRUE
2023-04-29 2:45:22,32796,18.38,33.75,TRUE
2023-04-29 0:06:16,30053,7.01,39.75,TRUE
2023-04-29 0:13:11,19739,6.76,38,TRUE
2023-04-29 0:20:06,8369,6.59,36.5,TRUE
2023-04-29 0:27:01,13915,5.74,37,TRUE
2023-04-29 0:33:56,7661,3.91,33.75,TRUE
2023-05-01 21:34:02,8688,4.96,34.75,TRUE
2023-05-01 21:40:57,6286,2.27,35.25,TRUE
2023-05-01 21:48:08,2807,1.88,29,TRUE
2023-05-01 21:55:18,1371,1.73,27.5,TRUE
2023-05-01 22:02:13,1284,1.64,28.25,TRUE
2023-05-01 22:09:23,1245,1.56,28.5,TRUE
2023-05-01 22:16:33,1243,1.56,28,TRUE
2023-05-01 22:23:28,1148,1.27,27.75,TRUE
2023-05-01 22:30:38,1645,1.05,27.25,TRUE
2023-05-01 22:37:49,1410,0.95,24.75,TRUE
2023-05-01 22:44:59,1387,0.95,24,TRUE
2023-05-01 22:51:54,1330,0.93,23.5,TRUE
2023-05-01 22:59:04,1185,0.83,23.25,TRUE
2023-05-01 23:06:14,1077,0.76,23,TRUE
2023-05-01 23:13:10,807,0.61,22.5,TRUE
2023-05-01 23:20:20,646,0.51,22.25,TRUE
2023-05-01 23:27:30,517,0.44,22,TRUE
2023-05-01 21:34:18,175,0.29,22.25,TRUE
2023-05-01 21:41:28,125,0.24,22,TRUE
2023-05-01 21:48:38,77,0.15,22,TRUE
2023-05-01 21:55:33,48,0.1,21.75,TRUE
2023-05-01 22:02:43,27,0.05,21.5,TRUE
2023-05-01 22:09:54,16,0.02,21.25,TRUE
2023-05-01 22:16:49,9,0,21,TRUE
2023-05-01 22:23:59,7,0,20.75,TRUE
2023-05-01 22:31:09,8,0,20.5,TRUE
2023-05-01 22:38:20,8,0,20.25,TRUE
2023-05-01 22:45:15,6,0,20.25,TRUE
2023-05-01 22:52:25,5,0,20,TRUE
2023-05-01 22:59:35,6,0,20,TRUE
2023-05-01 23:06:31,6,0,19.75,TRUE
2023-05-01 23:13:41,6,0,19.75,TRUE
2023-05-01 23:20:51,6,0,19.75,TRUE
2023-05-01 23:28:02,8,0,19.5,TRUE
2023-05-01 23:34:57,8,0,19.75,TRUE
2023-05-01 23:42:07,8,0,19.75,TRUE
2023-05-01 23:49:17,8,0,19.75,TRUE
2023-05-01 23:56:13,8,0,20,TRUE
2023-05-02 0:03:23,8,0,19.75,TRUE
2023-05-02 0:10:33,5,0,19.25,TRUE
2023-05-02 0:17:28,8,0,19,TRUE
2023-05-02 0:24:39,8,0,18.75,TRUE
2023-05-02 0:31:49,8,0,18.5,TRUE
2023-05-02 0:38:59,8,0,18,TRUE
2023-05-02 0:45:54,8,0,17.75,TRUE
2023-05-02 0:53:05,4,0,17.25,TRUE
2023-05-02 1:00:15,4,0,17,TRUE
2023-05-02 1:07:10,4,0,16.75,TRUE
2023-05-02 1:14:20,4,0,16.75,TRUE
2023-05-02 1:21:31,4,0,16.75,TRUE
2023-05-02 1:28:41,4,0,16.75,TRUE
2023-05-03 21:34:18,3387,1.1,16.5,TRUE
2023-05-03 21:41:28,3330,1.05,14.75,TRUE
2023-05-03 21:48:38,3977,1.22,15,TRUE
2023-05-03 21:55:34,3114,0.98,15,TRUE
2023-05-03 22:02:44,2366,0.78,14.25,TRUE
2023-05-03 22:09:54,2023,0.73,13.75,TRUE
2023-05-03 22:16:49,3589,1.05,13.5,TRUE
2023-05-03 22:23:59,3864,1.07,13.75,TRUE
2023-05-03 22:31:09,3633,1.05,14,TRUE
2023-05-03 22:38:19,5064,1.32,14,TRUE
2023-05-03 22:45:14,6766,1.64,14.25,TRUE
2023-05-03 22:52:24,9475,2.08,15.25,TRUE
2023-05-03 22:59:34,6415,1.59,16.25,TRUE
2023-05-03 23:06:29,8327,1.9,16.5,TRUE
2023-05-03 23:13:39,5917,1.54,16.25,TRUE
2023-05-03 23:20:50,7593,1.81,17.5,TRUE
2023-05-03 23:28:00,4657,1.29,17.25,TRUE
2023-05-03 23:34:55,7974,1.86,17.25,TRUE
2023-05-03 23:42:05,8053,1.9,17,TRUE
2023-05-03 23:49:00,10977,2.39,17.75,TRUE
2023-05-03 23:55:55,10359,2.34,18.5,TRUE
2023-05-04 0:02:50,12491,2.69,18.75,TRUE
2023-05-04 0:10:00,7129,1.81,19.5,TRUE
2023-05-04 0:16:55,13825,2.91,20.25,TRUE
2023-05-04 0:23:50,10096,2.32,19.75,TRUE
2023-05-04 0:30:45,8834,2.12,19.5,TRUE
2023-05-04 0:37:56,8961,2.2,19.5,TRUE
2023-05-04 0:45:06,6373,1.71,19.75,TRUE
2023-05-04 0:52:01,6855,1.78,18.75,TRUE
2023-05-04 0:59:11,7731,1.9,19.75,TRUE
2023-05-04 1:06:21,6898,1.76,19.5,TRUE
2023-05-04 1:13:31,6527,1.73,20,TRUE
2023-05-04 1:20:26,10038,2.29,20,TRUE
2023-05-04 1:27:21,8664,2.1,20.25,TRUE
2023-05-04 1:34:31,10160,2.29,20.75,TRUE
2023-05-04 1:41:42,6435,1.73,18.75,TRUE
2023-05-04 1:48:37,7016,1.78,18,TRUE
2023-05-04 1:55:47,8789,2.05,19,TRUE
2023-05-04 2:02:42,12464,2.61,18.75,TRUE
2023-05-04 2:09:52,6923,1.76,18.25,TRUE
2023-05-04 2:17:02,7634,1.9,18,TRUE
2023-05-04 2:23:57,7943,1.93,18.75,TRUE
2023-05-04 2:31:07,8047,1.93,18.5,TRUE
2023-05-04 2:38:17,6210,1.61,18.75,TRUE
2023-05-04 2:45:13,8399,1.98,18.25,TRUE
2023-05-04 2:52:23,5219,1.44,17.25,TRUE
2023-05-04 2:59:33,6236,1.59,17,TRUE
2023-05-04 3:06:43,3982,1.17,16.5,TRUE
2023-05-04 3:13:38,6478,1.61,16.75,TRUE
2023-05-04 3:20:48,3057,0.98,16.5,TRUE
2023-05-04 3:27:58,4455,1.25,16.5,TRUE
2023-05-04 3:34:53,4308,1.22,16.5,TRUE
2023-05-04 3:42:03,3683,1.1,16.5,TRUE
2023-05-04 3:49:13,3899,1.12,16.75,TRUE
2023-05-04 3:56:23,4941,1.32,16.25,TRUE
2023-05-04 4:03:18,4707,1.27,16.5,TRUE
2023-05-04 4:10:28,4333,1.22,16.25,TRUE
2023-05-04 4:17:38,3836,1.12,16.5,TRUE
2023-05-04 4:24:33,2542,0.85,16.75,TRUE
2023-05-04 4:31:44,3692,1.1,16.25,TRUE
2023-05-04 4:38:54,3442,1.03,16,TRUE
2023-05-04 4:45:49,3868,1.12,16,TRUE
2023-05-04 4:52:59,2871,0.93,16.5,TRUE
2023-05-04 5:00:09,3511,1.07,16,TRUE
2023-05-04 5:07:19,3329,1.03,16,TRUE
2023-05-04 5:14:14,5724,1.46,16.5,TRUE
2023-05-04 5:21:24,2068,0.73,15.75,TRUE
2023-05-04 5:29:04,1574,0.59,15,TRUE
2023-05-04 5:36:15,2188,0.73,15,TRUE
2023-05-04 5:43:10,2643,0.83,14.75,TRUE
2023-05-04 5:50:20,1948,0.68,14.5,TRUE
2023-05-04 5:57:30,2188,0.73,14.75,TRUE
2023-05-04 6:04:25,3492,1,14.75,TRUE
2023-05-04 6:11:35,2365,0.81,14.75,TRUE
2023-05-04 6:18:45,1389,0.51,14,TRUE
2023-05-04 6:25:41,1589,0.56,13.5,TRUE
2023-05-04 6:32:51,1802,0.61,13.25,TRUE
2023-05-04 6:40:01,1325,0.51,13.25,TRUE
2023-05-04 6:47:11,1715,0.59,12.75,TRUE
2023-05-04 6:54:06,2262,0.71,12.5,TRUE
2023-05-04 7:01:16,3555,0.73,12.75,TRUE
2023-05-04 7:08:26,2950,0.63,12.75,TRUE
2023-05-04 7:15:22,2527,0.59,12.75,TRUE
2023-05-04 7:22:32,2285,0.59,12,TRUE
2023-05-04 7:29:42,1108,0.34,12,TRUE
2023-05-04 7:36:52,1933,0.51,11.75,TRUE
2023-05-04 7:43:47,2839,0.63,11.75,TRUE
2023-05-04 7:50:57,2949,0.68,12.25,TRUE
2023-05-04 7:58:07,1882,0.51,12.25,TRUE
2023-05-04 8:05:02,1244,0.39,12.25,TRUE
2023-05-04 8:12:12,1554,0.44,12.5,TRUE
2023-05-04 8:19:22,1956,0.54,12.75,TRUE
2023-05-04 8:26:32,1329,0.42,12.75,TRUE
2023-05-04 8:33:27,1123,0.39,13,TRUE
2023-05-04 8:40:37,875,0.32,12.5,TRUE
2023-05-04 8:47:48,793,0.32,12.5,TRUE
2023-05-04 8:54:43,501,0.22,12.5,TRUE
2023-05-04 9:01:53,595,0.27,12.5,TRUE
2023-05-04 9:09:03,603,0.29,12.75,TRUE
2023-05-04 9:15:58,360,0.2,12.25,TRUE
2023-05-04 9:23:08,198,0.12,11.75,TRUE
2023-05-04 9:30:18,107,0.07,11.75,TRUE
2023-05-04 9:37:28,67,0.02,11.5,TRUE
2023-05-04 9:44:24,74,0.05,11.25,TRUE
2023-05-04 9:51:34,97,0.05,11.25,TRUE
